x,F
48,0.001398601
55.08378378,0.007692308
62.16756757,0.023776224
69.25135135,0.044755245
76.33513514,0.101398601
83.41891892,0.188111888
90.5027027,0.262237762
97.58648649,0.341958042
104.6702703,0.454545455
111.7540541,0.556643357
118.8378378,0.641258741
125.9216216,0.714685315
133.0054054,0.794405594
140.0891892,0.835664336
147.172973,0.866433566
154.2567568,0.88951049
161.3405405,0.913286713
168.4243243,0.931468531
175.5081081,0.940559441
182.5918919,0.95034965
189.6756757,0.958741259
196.7594595,0.966433566
203.8432432,0.974825175
210.927027,0.975524476
218.0108108,0.98041958
225.0945946,0.985314685
232.1783784,0.988111888
239.2621622,0.991608392
246.3459459,0.992307692
253.4297297,0.993006993
260.5135135,0.995804196
267.5972973,0.996503497
274.6810811,0.996503497
281.7648649,0.997202797
288.8486486,0.997202797
295.9324324,0.998601399
303.0162162,0.998601399
310.1,1
