x,F
0.065581884,0.00058309
0.267126211,0.00058309
0.468670538,0.001166181
0.670214865,0.001166181
0.871759193,0.002915452
1.07330352,0.006413994
1.274847847,0.006997085
1.476392174,0.009912536
1.677936501,0.01516035
1.879480828,0.025655977
2.081025155,0.03148688
2.282569482,0.043731778
2.484113809,0.071137026
2.685658136,0.095626822
2.887202464,0.134693878
3.088746791,0.175510204
3.290291118,0.222740525
3.491835445,0.290379009
3.693379772,0.362682216
3.894924099,0.426822157
4.096468426,0.489795918
4.298012753,0.555102041
4.49955708,0.625655977
4.701101407,0.684548105
4.902645734,0.741690962
5.104190062,0.779591837
5.305734389,0.803498542
5.507278716,0.833236152
5.708823043,0.872303207
5.91036737,0.897959184
6.111911697,0.912536443
6.313456024,0.928279883
6.515000351,0.945189504
6.716544678,0.956268222
6.918089005,0.964431487
7.119633333,0.973760933
7.32117766,0.983090379
7.522721987,0.989504373
7.724266314,0.993586006
7.925810641,0.995335277
8.127354968,0.997667638
8.328899295,1
